"Cell","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales","Scotland"
"99 Domestic services : All Office Workers - Males",0,0,0,0,0,0,2,2,0,1,-
"99 Domestic services : All Non-Office Workers - Males",11,51,44,38,46,79,91,228,91,10,-
"99 Domestic services : All Office Workers - Females",1,2,2,4,3,2,8,5,5,2,-
"99 Domestic services : All Non-Office Workers - Females",210,654,602,563,566,896,1210,1696,931,208,-
"00 Diplomatic representaion, etc. : All Office Workers - Males",0,13,8,3,5,38,310,43,6,2,-
"00 Diplomatic representaion, etc. : All Non-Office Workers - Males",4,21,35,85,18,1242,198,448,80,38,-
"00 Diplomatic representaion, etc. : All Office Workers - Females",0,13,1,4,2,44,240,34,2,6,-
"00 Diplomatic representaion, etc. : All Non-Office Workers - Females",0,7,9,18,1,210,61,62,6,9,-
"Industry inadequately described : All Office Workers - Males",4,34,16,17,33,37,72,43,23,8,-
"Industry inadequately described : All Non-Office Workers - Males",201,687,444,395,639,525,1472,838,492,310,-
"Industry inadequately described : All Office Workers - Females",21,45,31,24,44,55,125,88,38,17,-
"Industry inadequately described : All Non-Office Workers - Females",257,645,444,404,616,551,1252,896,599,317,-
"Workplace outside UK : All Office Workers - Males",114,159,93,65,58,132,206,243,96,80,-
"Workplace outside UK : All Non-Office Workers - Males",383,416,253,152,128,221,257,547,309,208,-
"Workplace outside UK : All Office Workers - Females",5,11,6,6,10,18,25,28,8,2,-
"Workplace outside UK : All Non-Office Workers - Females",29,68,53,29,26,59,94,101,46,29,-
